,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept,Overall_Pay_corr,Fees_corr,Dep_LeftRight
824,University of Michigan - Ann Arbor (UM),Mathematics,1.08,2016-2017,1st,,1,2016,25000,0,19737,5263,25000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Michigan - Ann Arbor UM_MathematicsAndComputer Science,23148.148148148146,0.0,0
825,University of Pennsylvania,Biology,1.22,2016-2017,3rd,,3,2016,29500,29500,0,0,29500,Biology,Biology,low,0,0,University of Pennsylvania_Biology,24180.32786885246,0.0,0
826,Stanford University (SU),Materials Science and Engineering,1.54,2016-2017,1st,Additional Internal Fellowship,1,2016,44300,44300,0,0,44300,Engineering,Engineering,low,0,0,Stanford University SU_Engineering,28766.233766233767,0.0,0
827,University of South Carolina (USC),Chemistry and Biochemistry,1.05,2016-2017,1st,,1,2016,23652,24000,0,0,24000,Chemistry,Chemistry,low,348,348,University of South Carolina USC_Chemistry,22525.714285714286,331.4285714285714,0
828,Carnegie Mellon University (CMU),Materials Science and Engineering,1.39,2016-2017,1st,Fellowship,1,2016,28800,28800,0,0,28800,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering,20719.424460431655,0.0,0
829,University of Pennsylvania,Sociology,1.14,2016-2017,2nd,,2,2016,27468,27468,0,0,27468,HistPolSoc,HistPolSoc,low,0,0,University of Pennsylvania_HistPolSoc,24094.736842105267,0.0,1
830,Cornell University (CU),Materials Science and Engineering,1.36,2016-2017,1st,,1,2016,33000,33000,0,0,33000,Engineering,Engineering,low,0,0,Cornell University CU_Engineering,24264.70588235294,0.0,0
831,University of California - Berkeley,Materials Science and Engineering,1.2,2016-2017,1st,,1,2016,33400,33400,0,0,33400,Engineering,Engineering,low,0,0,University of California - Berkeley_Engineering,27833.333333333336,0.0,0
832,Stanford University (SU),Materials Science and Engineering,1.15,2016-2017,1st,,1,2016,33000,33000,0,0,33000,Engineering,Engineering,low,0,0,Stanford University SU_Engineering,28695.652173913044,0.0,0
833,Stanford University (SU),Materials Science and Engineering,1.35,2016-2017,1st,,1,2016,38800,38800,0,0,38800,Engineering,Engineering,low,0,0,Stanford University SU_Engineering,28740.740740740737,0.0,0
834,University of Illinois - Urbana- Champaign (UIUC),Chemistry,1.1,2016-2017,1st,,1,2016,24120,24550,0,0,24550,Chemistry,Chemistry,low,430,430,University of Illinois - Urbana- Champaign UIUC_Chemistry,21927.272727272724,390.9090909090909,0
835,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,1.35,2016-2017,1st,,1,2016,30000,30000,0,0,30000,Engineering,Engineering,low,0,0,University of North Carolina - Chapel Hill UNC_Engineering,22222.22222222222,0.0,0
836,Georgetown University,Government,0.81,2016-2017,1st,,1,2016,25000,25000,0,0,25000,HistPolSoc,HistPolSoc,low,0,0,Georgetown University_HistPolSoc,30864.197530864196,0.0,1
837,University of California - Davis (UCD),Political Science,0.75,2016-2017,1st,,1,2016,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0,University of California - Davis UCD_HistPolSoc,24000.0,0.0,1
838,Cornell University (CU),Biophysics,1.26,2015-2016,4th,,4,2015,30600,30700,0,0,30700,PhysicsAndAstronomy,PhysicsAndAstronomy,low,100,100,Cornell University CU_PhysicsAndAstronomy,24285.714285714286,79.36507936507937,0
839,University of California - Berkeley,History ,0.79,2016-2017,4th,,4,2016,22000,0,22000,0,22000,HistPolSoc,HistPolSoc,high,0,0,University of California - Berkeley_HistPolSoc,27848.101265822785,0.0,1
840,University of California - San Diego (UCSD),Political Science,1.06,2016-2017,2nd,,2,2016,28000,0,28000,0,28000,HistPolSoc,HistPolSoc,high,0,0,University of California - San Diego UCSD_HistPolSoc,26415.09433962264,0.0,1
841,Northwestern University (NU),Chemistry,1.31,2016-2017,1st,,1,2016,31716,31716,0,0,31716,Chemistry,Chemistry,low,0,0,Northwestern University NU_Chemistry,24210.68702290076,0.0,0
842,Purdue University - West Lafayette,Biomedical Engineering,0.64,2016-2017,1st,,1,2016,13500,23500,0,0,23500,Engineering,Engineering,low,10000,10000,Purdue University - West Lafayette_Engineering,21093.75,15625.0,0
843,Northwestern University (NU),Psychology,1.24,2016-2017,1st,,1,2016,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,Northwestern University NU_HistPolSoc,24193.548387096773,0.0,1
844,University of Kentucky (UK),Statistics,0.74,2016-2017,1st,,1,2016,15100,0,16000,0,16000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,900,900,University of Kentucky UK_MathematicsAndComputer Science,20405.405405405407,1216.2162162162163,0
845,University of Kentucky (UK),Biochemistry,1.22,2016-2017,4th,"I also receive a $3000/yr incentive award
",4,2016,25000,25000,0,0,25000,Chemistry,Chemistry,low,0,0,University of Kentucky UK_Chemistry,20491.803278688523,0.0,0
846,University of Kentucky (UK),Chemistry,1.12,2016-2017,2nd,,2,2016,22880,23480,0,0,23480,Chemistry,Chemistry,low,600,600,University of Kentucky UK_Chemistry,20428.571428571428,535.7142857142857,0
847,University of Kentucky (UK),Chemistry,0.85,2015-2016,1st,,1,2015,17347,18097,0,0,18097,Chemistry,Chemistry,low,750,750,University of Kentucky UK_Chemistry,20408.235294117647,882.3529411764706,0
849,University of Kentucky (UK),Chemistry,1.1,2016-2017,1st,"I came into this from having a job with a decent salary, and still having student loans from undergraduate. Although those are deferred for the time being, I still have other bills I am paying. Like a car payment, rent, utilities, and some family bills. ",1,2016,22500,23900,0,0,23900,Chemistry,Chemistry,low,1400,1400,University of Kentucky UK_Chemistry,20454.545454545452,1272.7272727272725,0
851,Northwestern University (NU),Chemistry,1.22,2015-2016,1st,,1,2015,29600,30000,0,0,30000,Chemistry,Chemistry,low,400,400,Northwestern University NU_Chemistry,24262.295081967215,327.8688524590164,0
852,Temple University (TU),Political Science ,0.68,2016-2017,2nd,,2,2016,16500,0,17500,0,17500,HistPolSoc,HistPolSoc,high,1000,1000,Temple University TU_HistPolSoc,24264.70588235294,1470.5882352941176,1
853,Johns Hopkins University (JHU),Sociology,0.91,2016-2017,6th and up,,6,2016,23500,0,23500,0,23500,HistPolSoc,HistPolSoc,high,0,0,Johns Hopkins University JHU_HistPolSoc,25824.17582417582,0.0,1
854,Temple University (TU),Political Science,0.72,2015-2016,3rd,"There are student fees every semester, but TAs do get health insurance through the grad student union. Had to teach and/or TA 2 classes each semester while taking a full course load. Assistantship doesn't cover the summer months, and there are only a few openings to teach over the summer. Philadelphia isn't the most expensive city ever, but there's still not a lot of room to save, even without dependents.",3,2015,17292,0,17292,0,17292,HistPolSoc,HistPolSoc,high,0,0,Temple University TU_HistPolSoc,24016.666666666668,0.0,1
855,University of Kentucky (UK),Computer Science,0.8,2016-2017,2nd,,2,2016,16400,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1600,1600,University of Kentucky UK_MathematicsAndComputer Science,20500.0,2000.0,0
856,University of Kentucky (UK),Mathematics,0.96,2016-2017,3rd,,3,2016,19600,0,16275,3400,19675,MathematicsAndComputer Science,MathematicsAndComputer Science,high,75,75,University of Kentucky UK_MathematicsAndComputer Science,20416.666666666668,78.125,0
857,University of Kentucky (UK),Mathematics,0.79,2016-2017,1st,,1,2016,16045,0,16300,0,16300,MathematicsAndComputer Science,MathematicsAndComputer Science,high,255,255,University of Kentucky UK_MathematicsAndComputer Science,20310.12658227848,322.7848101265823,0
858,University of Kentucky (UK),Mathematics,0.34,2016-2017,3rd,Summer support in not guaranteed every year.,3,2016,6983,0,16375,4533,20908,MathematicsAndComputer Science,MathematicsAndComputer Science,high,13925,13925,University of Kentucky UK_MathematicsAndComputer Science,20538.235294117647,40955.882352941175,0
859,University of Michigan - Ann Arbor (UM),Aerospace Engineering,1.28,2016-2017,4th,No additional free required for health care for grad student and all dependents.,4,2016,29605,29605,0,0,29605,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering,23128.90625,0.0,0
860,University of Michigan - Ann Arbor (UM),Aerospace Engineering,0.11,2016-2017,4th,No additional free required for health care for grad student and all dependents. ,4,2016,2467,2467,0,0,2467,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering,22427.272727272728,0.0,0
861,University of Kentucky (UK),Mathematics,0.87,2016-2017,3rd,,3,2016,17690,0,15000,3200,18200,MathematicsAndComputer Science,MathematicsAndComputer Science,high,510,510,University of Kentucky UK_MathematicsAndComputer Science,20333.333333333332,586.2068965517242,0
862,University of Kentucky (UK),Biochemistry,1.22,2016-2017,2nd,"Salary is adequate to cover basic living expenses, but isn't really enough to save any money, and if a tragedy or unforeseen cost arises (as it does in life), you need a strong support system to help financially because the stipend doesn't cut it. ",2,2016,25000,25000,0,0,25000,Chemistry,Chemistry,low,0,0,University of Kentucky UK_Chemistry,20491.803278688523,0.0,0
863,Temple University (TU),Political Science,0.89,2015-2016,3rd,,3,2015,21553,0,17292,4261,21553,HistPolSoc,HistPolSoc,high,0,0,Temple University TU_HistPolSoc,24216.85393258427,0.0,1
864,Temple University (TU),Political Science,1.0,2016-2017,4th,,4,2016,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,Temple University TU_HistPolSoc,24000.0,0.0,1
865,Pennsylvania State University (Penn State),Ecology,1.13,2016-2017,3rd,,3,2016,25380,0,19035,6345,25380,Geography,Geography,high,0,0,Pennsylvania State University Penn State_Geography,22460.176991150445,0.0,0
866,Pennsylvania State University (Penn State),Ecology,1.32,2016-2017,2nd,Tuition and fees are covered by assistantship from department or advisor grant.,2,2016,29553,0,22140,7413,29553,Geography,Geography,high,0,0,Pennsylvania State University Penn State_Geography,22388.636363636364,0.0,0
871,University of California - San Diego (UCSD),Bioinformatics,1.21,2016-2017,4th,,4,2016,32000,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science,26446.280991735537,0.0,0
872,Rutgers the State University of New Jersey - New Brunswick,Sociology,0.89,2016-2017,1st,"$1,059 in fees each semester.
TA pay different from 1st year fellowship pay.",1,2016,22882,0,25000,0,25000,HistPolSoc,HistPolSoc,high,2118,2118,Rutgers the State University of New Jersey - New Brunswick_HistPolSoc,25710.11235955056,2379.775280898876,1
873,University of Virginia (UVA),mechanical engineering,1.09,2016-2017,1st,,1,2016,25000,25000,0,0,25000,Engineering,Engineering,low,0,0,University of Virginia UVA_Engineering,22935.77981651376,0.0,0
874,Arizona State University (ASU),Political Science,0.75,2016-2017,1st,,1,2016,16700,0,17500,0,17500,HistPolSoc,HistPolSoc,high,800,800,Arizona State University ASU_HistPolSoc,22266.666666666668,1066.6666666666667,1
875,University of Chicago (UC),Sociology,1.07,2016-2017,2nd,,2,2016,25872,27000,0,0,27000,HistPolSoc,HistPolSoc,low,1128,1128,University of Chicago UC_HistPolSoc,24179.439252336448,1054.2056074766354,1
876,University of California - Davis (UCD),Political Science,1.08,2016-2017,1st,,1,2016,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,University of California - Davis UCD_HistPolSoc,24074.074074074073,0.0,1
877,University of North Carolina - Chapel Hill (UNC),Neuroscience,1.3,2016-2017,1st,,1,2016,29000,29000,0,0,29000,Medical,Medical,low,0,0,University of North Carolina - Chapel Hill UNC_Medical,22307.69230769231,0.0,0
878,University of North Carolina - Chapel Hill (UNC),Pharmacology,1.3,2016-2017,6th and up,"I entered ""$0"" in the required fees because our student fees are paid for by the school/our PI's grants.  However, UNC graduate students are charged $979.08 in student fees per semester (for fall and spring, at least).

In general, the UNC stipend for graduate students in the School of Medicine is very nice.  I was able to live by myself in a 2-bedroom apartment for two years before moving in with my boyfriend.  We live comfortably without needing extra jobs/money, and with good budgeting habits I am able to save money every month and still splurge occasionally.",6,2016,29000,29000,0,0,29000,Medical,Medical,low,0,0,University of North Carolina - Chapel Hill UNC_Medical,22307.69230769231,0.0,0
879,Princeton University,Sociology,1.22,2016-2017,1st,,1,2016,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0,Princeton University_HistPolSoc,25409.83606557377,0.0,1
880,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,1.12,2015-2016,5th,,5,2015,25000,26000,0,0,26000,Engineering,Engineering,low,1000,1000,University of North Carolina - Chapel Hill UNC_Engineering,22321.42857142857,892.8571428571428,0
881,Northeastern University (NU),History,1.18,2016-2017,1st,,1,2016,33744,33744,0,0,33744,HistPolSoc,HistPolSoc,low,0,0,Northeastern University NU_HistPolSoc,28596.610169491527,0.0,1
882,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,0.99,2016-2017,1st,,1,2016,22000,22000,0,0,22000,Engineering,Engineering,low,0,0,University of North Carolina - Chapel Hill UNC_Engineering,22222.222222222223,0.0,0
883,CUNY Graduate School and University Center,Psychology,1.14,2016-2017,2nd,,2,2016,34000,34000,0,0,34000,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc,29824.561403508775,0.0,1
884,University of Pennsylvania,Biology,1.24,2016-2017,5th,,5,2016,30000,30000,0,0,30000,Biology,Biology,low,0,0,University of Pennsylvania_Biology,24193.548387096773,0.0,0
885,Stony Brook University - SUNY,Computer Science,0.97,2015-2016,2nd,,2,2015,27000,28500,0,0,28500,MathematicsAndComputer Science,MathematicsAndComputer Science,low,1500,1500,Stony Brook University - SUNY_MathematicsAndComputer Science,27835.051546391755,1546.3917525773197,0
886,New York University (NYU),Sociology,1.02,2016-2017,2nd,,2,2016,30300,0,26800,3500,30300,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc,29705.882352941175,0.0,1
888,Pennsylvania State University (Penn State),Bioengineering,1.1,2016-2017,1st,,1,2016,24654,24654,0,0,24654,Engineering,Engineering,low,0,0,Pennsylvania State University Penn State_Engineering,22412.727272727272,0.0,0
889,University of Rochester (UR),Biochemistry,1.3,2016-2017,4th,,4,2016,27800,27800,0,0,27800,Chemistry,Chemistry,low,0,0,University of Rochester UR_Chemistry,21384.615384615383,0.0,0
890,Drexel University (DU),Engineering,1.04,2016-2017,2nd,,2,2016,25000,25000,0,0,25000,Engineering,Engineering,low,0,0,Drexel University DU_Engineering,24038.46153846154,0.0,0
891,University of South Carolina (USC),Chemistry and Biochemistry,1.01,2016-2017,3rd,,3,2016,22890,25000,0,0,25000,Chemistry,Chemistry,low,2110,2110,University of South Carolina USC_Chemistry,22663.366336633662,2089.108910891089,0
892,University of Washington (UW),Biochemistry,1.31,2016-2017,1st,,1,2016,30400,31000,0,0,31000,Chemistry,Chemistry,low,600,600,University of Washington UW_Chemistry,23206.106870229007,458.0152671755725,0
893,Stanford University (SU),Biosciences,1.46,2016-2017,1st,,1,2016,42000,42000,0,0,42000,Biology,Biology,low,0,0,Stanford University SU_Biology,28767.123287671235,0.0,0
894,University of Wisconsin - Madison (UW),Chemistry,1.07,2016-2017,5th,,5,2016,24500,25000,0,0,25000,Chemistry,Chemistry,low,500,500,University of Wisconsin - Madison UW_Chemistry,22897.196261682242,467.2897196261682,0
895,Northwestern University (NU),Chemical and Biological Engineering,1.26,2016-2017,1st,,1,2016,30500,30900,0,0,30900,Engineering,Engineering,low,400,400,Northwestern University NU_Engineering,24206.349206349205,317.46031746031747,0
896,University of Maryland - College Park (UMD),Electrical Engineering,1.03,2016-2017,3rd,Stipend step bump after meeting PhD qualifying requirements,3,2016,31200,32000,0,0,32000,Engineering,Engineering,low,800,800,University of Maryland - College Park UMD_Engineering,30291.26213592233,776.6990291262135,0
897,Northwestern University (NU),Biomedical Engineering,1.22,2015-2016,6th and up,,6,2015,29560,30000,0,0,30000,Engineering,Engineering,low,440,440,Northwestern University NU_Engineering,24229.508196721312,360.65573770491807,0
898,Northwestern University (NU),Biomedical Engineering,1.4,2016-2017,1st,"$29,880 Murphy Fellowship + $5,000 supplement for outside fellowship. Additional: $2,000 professional development scholarship from university and $5,000 academic allowance from outside fellowship.",1,2016,33880,33880,0,0,33880,Engineering,Engineering,low,0,0,Northwestern University NU_Engineering,24200.0,0.0,0
899,University of Michigan - Ann Arbor (UM),Psychology,0.1,2016-2017,1st,,1,2016,2282,0,2582,0,2582,HistPolSoc,HistPolSoc,low,300,300,University of Michigan - Ann Arbor UM_HistPolSoc,22820.0,3000.0,1
900,Georgetown University,Political Science,0.87,2016-2017,1st,,1,2016,27000,0,27000,0,27000,HistPolSoc,HistPolSoc,high,0,0,Georgetown University_HistPolSoc,31034.48275862069,0.0,1
901,Northwestern University (NU),Political Science,1.22,2016-2017,1st,,1,2016,29500,0,29500,0,29500,HistPolSoc,HistPolSoc,high,0,0,Northwestern University NU_HistPolSoc,24180.32786885246,0.0,1
902,University of North Carolina - Chapel Hill (UNC),Political Science,0.67,2016-2017,1st,"Base stipend = 17,000 but doesn't include ~2,000 in required fees. ",1,2016,15000,0,17000,0,17000,HistPolSoc,HistPolSoc,high,2000,2000,University of North Carolina - Chapel Hill UNC_HistPolSoc,22388.059701492537,2985.0746268656717,1
903,Cornell University (CU),Physics,1.11,2016-2017,1st,,1,2016,27000,0,27000,0,27000,PhysicsAndAstronomy,PhysicsAndAstronomy,high,0,0,Cornell University CU_PhysicsAndAstronomy,24324.324324324323,0.0,0
904,Stanford University (SU),Materials Science and Engineering,1.4,2016-2017,1st,,1,2016,40280,40280,0,0,40280,Engineering,Engineering,low,0,0,Stanford University SU_Engineering,28771.428571428572,0.0,0
905,University of Southern California (USC),Psychology,1.12,2016-2017,3rd,,3,2016,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,University of Southern California USC_HistPolSoc,25892.85714285714,0.0,1
906,Rice University,Engineering,1.08,2016-2017,1st,,1,2016,23500,24000,0,0,24000,Engineering,Engineering,low,500,500,Rice University_Engineering,21759.25925925926,462.96296296296293,0
907,University of Maryland - College Park (UMD),Electrical Engineering,0.95,2016-2017,3rd,,3,2016,28800,28800,0,0,28800,Engineering,Engineering,low,0,0,University of Maryland - College Park UMD_Engineering,30315.789473684214,0.0,0
908,Northeastern University (NU),History,0.09,2016-2017,1st,,1,2016,2500,2500,0,0,2500,HistPolSoc,HistPolSoc,low,0,0,Northeastern University NU_HistPolSoc,27777.777777777777,0.0,1
910,University of North Carolina - Chapel Hill (UNC),Epidemiology,0.72,2015-2016,3rd,This salary is for department assistantships. Fellowships/training grants have different stipends,3,2015,16000,18000,0,0,18000,Medical,Medical,low,2000,2000,University of North Carolina - Chapel Hill UNC_Medical,22222.222222222223,2777.777777777778,0
911,Yale University (YU),economics,1.01,2016-2017,1st,,1,2016,25000,0,25000,0,25000,BusinessAndManagement,BusinessAndManagement,high,0,0,Yale University YU_BusinessAndManagement,24752.47524752475,0.0,0
912,Yale University (YU),Economics,1.5,2016-2017,1st,,1,2016,37000,37000,0,0,37000,BusinessAndManagement,BusinessAndManagement,low,0,0,Yale University YU_BusinessAndManagement,24666.666666666668,0.0,0
913,University of California - Riverside (UCR),political science,0.66,2016-2017,1st,"dean's distinguished fellowship. first year =16000, 2-5= 19000",1,2016,16000,0,16000,0,16000,HistPolSoc,HistPolSoc,high,0,0,University of California - Riverside UCR_HistPolSoc,24242.42424242424,0.0,1
914,Stanford University (SU),Bioengineering,1.32,2016-2017,1st,,1,2016,37904,37904,0,0,37904,Engineering,Engineering,low,0,0,Stanford University SU_Engineering,28715.151515151512,0.0,0
915,University of North Carolina - Chapel Hill (UNC),Psychology,1.12,2016-2017,3rd,,3,2016,25000,0,19000,8000,27000,HistPolSoc,HistPolSoc,high,2000,2000,University of North Carolina - Chapel Hill UNC_HistPolSoc,22321.42857142857,1785.7142857142856,1
916,University of Illinois - Urbana- Champaign (UIUC),Sociology,0.75,2016-2017,1st,,1,2016,16400,0,16400,0,16400,HistPolSoc,HistPolSoc,high,0,0,University of Illinois - Urbana- Champaign UIUC_HistPolSoc,21866.666666666668,0.0,1
917,Duke University (DU),Biomedical Engineering,2.02,2016-2017,3rd,"NSF GRFP, 2 additional fellowships and a outside scholarship",3,2016,45000,45000,0,0,45000,Engineering,Engineering,low,0,0,Duke University DU_Engineering,22277.227722772277,0.0,0
918,University of California - Riverside (UCR),Psychology,0.94,2016-2017,1st,"Chancellor's Distinguished Fellowship.  $21,000 first year, $18,123 years 2-5.  Summer stipend of $2,699 for first two years.   Covers health insurance.  ",1,2016,22654,0,21000,2699,23699,HistPolSoc,HistPolSoc,high,1045,1045,University of California - Riverside UCR_HistPolSoc,24100.0,1111.7021276595744,1
919,Emory University,Religion,0.91,2016-2017,2nd,+ health insurance,2,2016,21100,22000,0,0,22000,ArtsAndTheology,ArtsAndTheology,low,900,900,Emory University_ArtsAndTheology,23186.813186813186,989.010989010989,1
920,University of Maryland - College Park (UMD),Bioengineering,1.19,2015-2016,1st,Includes institutional fellowship ($30K) plus $6K in scholarships,1,2015,36000,36000,0,0,36000,Engineering,Engineering,low,0,0,University of Maryland - College Park UMD_Engineering,30252.100840336137,0.0,0
921,University of Maryland - College Park (UMD),Bioengineering,0.95,2016-2017,2nd,,2,2016,28600,29500,0,0,29500,Engineering,Engineering,low,900,900,University of Maryland - College Park UMD_Engineering,30105.263157894737,947.3684210526317,0
922,University of Pennsylvania,Psychology,1.24,2016-2017,2nd,,2,2016,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,University of Pennsylvania_HistPolSoc,24193.548387096773,0.0,1
923,Duke University (DU),Cell and Molecular Biology,1.33,2016-2017,4th,,4,2016,29500,29500,0,0,29500,Biology,Biology,low,0,0,Duke University DU_Biology,22180.451127819546,0.0,0
924,Clemson University (CU),Bioengineering,0.82,2016-2017,1st,,1,2016,17140,18200,0,0,18200,Engineering,Engineering,low,1060,1060,Clemson University CU_Engineering,20902.439024390245,1292.6829268292684,0
925,Indiana University,Political Science,0.67,2016-2017,3rd,,3,2016,14500,0,16500,0,16500,HistPolSoc,HistPolSoc,high,2000,2000,Indiana University_HistPolSoc,21641.791044776117,2985.0746268656717,1
926,University of North Carolina - Chapel Hill (UNC),Political Science ,0.81,2016-2017,2nd,,2,2016,18000,0,17000,3000,20000,HistPolSoc,HistPolSoc,high,2000,2000,University of North Carolina - Chapel Hill UNC_HistPolSoc,22222.22222222222,2469.135802469136,1
927,University of California - San Diego (UCSD),Mechanical and Aerospace Engineering,0.91,2015-2016,2nd,,2,2015,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,University of California - San Diego UCSD_Engineering,26373.62637362637,0.0,0
928,Duke University (DU),Music,1.24,2015-2016,2nd,,2,2015,27530,0,22030,5500,27530,ArtsAndTheology,ArtsAndTheology,high,0,0,Duke University DU_ArtsAndTheology,22201.612903225807,0.0,1
929,University of North Carolina - Chapel Hill (UNC),Political Science,1.03,2016-2017,1st,,1,2016,23000,0,22000,3000,25000,HistPolSoc,HistPolSoc,high,2000,2000,University of North Carolina - Chapel Hill UNC_HistPolSoc,22330.09708737864,1941.7475728155339,1
930,University of Virginia (UVA),Political Science,1.05,2016-2017,1st,,1,2016,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc,22857.142857142855,0.0,1
931,Columbia University (CU),Political Science,1.01,2016-2017,1st,,1,2016,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,Columbia University CU_HistPolSoc,29702.970297029704,0.0,1
932,Duke University (DU),Political Science,1.24,2016-2017,4th,,4,2016,27500,0,22500,5000,27500,HistPolSoc,HistPolSoc,high,0,0,Duke University DU_HistPolSoc,22177.41935483871,0.0,1
933,University of Texas - Austin (UT),Chemical Engineering,1.53,2016-2017,1st,,1,2016,35000,35000,0,0,35000,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering,22875.816993464054,0.0,0
934,University of Illinois - Urbana- Champaign (UIUC),Linguistics,0.71,2016-2017,1st,,1,2016,15540,0,16040,0,16040,LinguisticsAndCommunication,LinguisticsAndCommunication,high,500,500,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication,21887.323943661973,704.2253521126761,1
935,University of Texas - Austin (UT),Sociology,0.85,2016-2017,1st,"Includes $5,000 extra for first 2 summers and $1,000 relocation for 1st year",1,2016,19416,19416,0,0,19416,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc,22842.352941176472,0.0,1
936,Pennsylvania State University (Penn State),Sociology,0.95,2016-2017,1st,,1,2016,21350,21350,0,0,21350,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc,22473.684210526317,0.0,1
937,University of Notre Dame (ND),Sociology,1.42,2016-2017,1st,Includes University's Burns Fellowship ,1,2016,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,University of Notre Dame ND_HistPolSoc,20422.53521126761,0.0,1
938,Stanford University (SU),Psychology,1.29,2016-2017,1st,Tuition and health insurance covered. ,1,2016,37000,37000,0,0,37000,HistPolSoc,HistPolSoc,low,0,0,Stanford University SU_HistPolSoc,28682.170542635657,0.0,1
939,University of California - Davis (UCD),Political Science,0.88,2016-2017,1st,,1,2016,21000,21000,0,0,21000,HistPolSoc,HistPolSoc,low,0,0,University of California - Davis UCD_HistPolSoc,23863.636363636364,0.0,1
940,CUNY Graduate School and University Center,Psychology,0.84,2016-2017,3rd,This is a 5 year fellowship. about 12K is just fellowship money and 13K is payment for work like teaching. ,3,2016,25000,25000,0,0,25000,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc,29761.904761904763,0.0,1
941,University of California - San Diego (UCSD),Political Science,1.02,2016-2017,1st,"Base is 21k, RAships available",1,2016,27000,27000,0,0,27000,HistPolSoc,HistPolSoc,low,0,0,University of California - San Diego UCSD_HistPolSoc,26470.58823529412,0.0,1
942,Pennsylvania State University (Penn State),Geosciences,1.1,2016-2017,1st,,1,2016,24654,24654,0,0,24654,Geography,Geography,low,0,0,Pennsylvania State University Penn State_Geography,22412.727272727272,0.0,0
943,Pennsylvania State University (Penn State),Geosciences,1.45,2016-2017,1st,University Fellowship,1,2016,32500,32500,0,0,32500,Geography,Geography,low,0,0,Pennsylvania State University Penn State_Geography,22413.793103448275,0.0,0
944,Stanford University (SU),Biosciences,1.29,2016-2017,1st,,1,2016,37125,37125,0,0,37125,Biology,Biology,low,0,0,Stanford University SU_Biology,28779.06976744186,0.0,0
945,University of California - San Diego (UCSD),Political Science,0.79,2016-2017,1st,"Basically $21k a year for 5 years, which is partially work and partially fellowship. Tuition and fees covered mostly, save a small amount (~$260) starting in the 3rd year.
",1,2016,21000,0,16000,5000,21000,HistPolSoc,HistPolSoc,high,0,0,University of California - San Diego UCSD_HistPolSoc,26582.278481012658,0.0,1
946,Northwestern University (NU),Political Science,1.2,2016-2017,1st,"Typo in previous entry - added an extra zero, sorry. 

2 fellowship years, 3 TA (or RA) years. 
",1,2016,29100,29100,0,0,29100,HistPolSoc,HistPolSoc,low,0,0,Northwestern University NU_HistPolSoc,24250.0,0.0,1
947,University of California - Irvine (UCI),Political Science ,0.68,2016-2017,1st,"Roughly 20k Stipend before taxes, All tuition covered, 3 years non-resident tuition included in offer - Will not have to pay international fees if I reach candidacy before 3rd year. 200~250 dollar fee per quarter that you are enrolled in.",1,2016,19785,0,20000,0,20000,HistPolSoc,HistPolSoc,high,215,215,University of California - Irvine UCI_HistPolSoc,29095.588235294115,316.17647058823525,1
948,Johns Hopkins University (JHU),Political Science,1.09,2016-2017,1st,,1,2016,28000,28500,0,0,28500,HistPolSoc,HistPolSoc,low,500,500,Johns Hopkins University JHU_HistPolSoc,25688.07339449541,458.7155963302752,1
